"study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_organic_matter","fraction_carbon","delta_c13","depth_interval_notes"
"Krause_et_al_2025","PD","PD24","single set of methods",47.8,63.5,1.3775,0.02101,0.00877,-26.7,"10.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD24","single set of methods",63.5,78,1.08957142857143,0.0351,0.01404,NA,"10.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD24","single set of methods",78,100,1.15185714285714,0.03675,0.01657,-26.76,"10.4cm stopper to sed surface"
"Krause_et_al_2025","PD","PD25","single set of methods",0,2.7,0.72925,0.06304,0.02367,-25.78,"11cm stopper to sed surface"
"Krause_et_al_2025","PD","PD25","single set of methods",2.7,5.4,0.741888888888889,0.06795,NA,NA,"11cm stopper to sed surface"
"Krause_et_al_2025","PD","PD25","single set of methods",5.4,8.1,0.803222222222222,0.0628,0.02261,NA,"11cm stopper to sed surface"
"Krause_et_al_2025","PD","PD25","single set of methods",8.1,12.2,0.7156,0.0736,NA,NA,"11cm stopper to sed surface"
"Krause_et_al_2025","PD","PD25","single set of methods",12.2,17.6,0.6826,0.06954,0.02577,NA,"11cm stopper to sed surface"
"Krause_et_al_2025","PD","PD25","single set of methods",17.6,25.5,0.8964,0.05978,NA,NA,"11cm stopper to sed surface"
"Krause_et_al_2025","PD","PD25","single set of methods",25.5,38.7,0.845333333333333,0.07488,0.03057,-26.79,"11cm stopper to sed surface"
"Krause_et_al_2025","PD","PD25","single set of methods",38.7,49.3,0.9318,0.06519,0.02479,NA,"11cm stopper to sed surface"
"Krause_et_al_2025","PD","PD25","single set of methods",49.3,62.5,0.8225,0.07032,0.02584,-25.68,"11cm stopper to sed surface"
"Krause_et_al_2025","PD","PD25","single set of methods",62.5,79.4,0.768888888888889,0.08378,0.0273,NA,"11cm stopper to sed surface"
"Krause_et_al_2025","PD","PD25","single set of methods",79.4,100,0.788555555555556,0.05534,0.02286,-25.68,"11cm stopper to sed surface"
"Krause_et_al_2025","PD","PD3","single set of methods",0,3.7,0.787,0.04701,0.01621,-25.49,"13cm stopper to sed surface"
"Krause_et_al_2025","PD","PD3","single set of methods",3.7,6.3,0.9708,0.03801,NA,NA,"13cm stopper to sed surface"
"Krause_et_al_2025","PD","PD3","single set of methods",6.3,8.9,1.0155,0.03401,0.00907,NA,"13cm stopper to sed surface"
"Krause_et_al_2025","PD","PD3","single set of methods",8.9,12.9,0.953,0.05923,NA,NA,"13cm stopper to sed surface"
"Krause_et_al_2025","PD","PD3","single set of methods",12.9,18.4,0.864333333333333,0.0609,0.0183,NA,"13cm stopper to sed surface"
"Krause_et_al_2025","PD","PD3","single set of methods",18.4,26.6,1.113,0.03673,NA,NA,"13cm stopper to sed surface"
