study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,percent_organic_carbon
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D1_1,single set of methods,10,20,UPR_SM_T3_D1_10_20,0.8102800000000001,1.5
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D1_1,single set of methods,20,50,UPR_SM_T3_D1_20_50,1.0805,0.78
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D0.5_1,single set of methods,0,5,UPR_SM_T3_D0.5_0_5,0.5502105263157895,2.77
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D0.5_1,single set of methods,5,10,UPR_SM_T3_D0.5_5_10,0.6978499999999996,2.67
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D0.5_1,single set of methods,10,20,UPR_SM_T3_D0.5_10_20,0.85178,1.49
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D0.5_1,single set of methods,20,50,UPR_SM_T3_D0.5_20_50,1.1244599999999998,0.72
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D0_1,single set of methods,0,5,UPR_SM_T3_D0_0_5,0.8847272727272727,0.92
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D0_1,single set of methods,5,10,UPR_SM_T3_D0_5_10,0.82195,1.62
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D0_1,single set of methods,10,20,UPR_SM_T3_D0_10_20,0.916,0.85
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Upper,UPR_SM_T3_D0_1,single set of methods,20,50,UPR_SM_T3_D0_20_50,1.01792,0.7
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D5_1,single set of methods,0,5,MID_SM_T1_D5_0_5,0.7117142857142856,5.42
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D5_1,single set of methods,5,10,MID_SM_T1_D5_5_10,0.9726000000000002,2.8
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D5_1,single set of methods,10,20,MID_SM_T1_D5_10_20,1.17014,1.22
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D3_1,single set of methods,0,5,MID_SM_T1_D3_0_5,0.8582499999999996,3.84
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D3_1,single set of methods,5,10,MID_SM_T1_D3_5_10,1.0446000000000002,2.2
Engelbrecht_et_al_2025_Olifants,Olifants Estuary Middle,MID_SM_T1_D3_1,single set of methods,10,20,MID_SM_T1_D3_10_20,1.2022000000000002,0.97
