"study_id","site_id","plot_id","plant_id","year","month","day","species","plot_radius","alive_or_dead","decay_class","diameter","diameter_height","diameter_flag","basal_area","basal_density","total_height","canopy_height","height_method","canopy_quality","plant_AGB_kg_general","plant_AGC_kg_general","plant_AGB_kg_species","plant_AGC_kg_species","plant_BGB_kg","plant_BGC_kg","plant_notes"
"Romero_et_al_2025","R1","2","R1_2_12",2016,2,9,"Rhizophora racemosa",7,"alive",NA,"59.6","3","diameter above lowest prop root","0.27884456000000002","2788.4456","28","25","clinometer","high","3560.0987300363827","1744.44837771783","5282.6306274475919","2588.4890074493201","1590.4878664704427","620.2902679234727","hongos"
"Romero_et_al_2025","R1","2","R1_2_2",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"10","1.3","DBH","7.8499999999999993E-3","78.5","7","6","clinometer","medium","43.234310211117446","21.1848120034475","32.662611312628499","15.351427316935395","29.139418746990088","11.364373311326135","sano"
"Romero_et_al_2025","R1","2","R1_2_8",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"11","1.3","DBH","9.4985E-3","94.984999999999999","7","6","clinometer","high","54.715435385510212","26.8105633389","41.609100090005342","19.556277042302508","36.005814986758288","14.042267844835733","hongos"
"Romero_et_al_2025","R1","2","R1_2_1",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"12","1.3","DBH","1.1304E-2","113.03999999999999","6","5","clinometer","medium","58.298225708490271","28.5661305971602","51.900467252086941","24.393219608480862","43.678050967726882","17.034439877413483","hongos"
"Romero_et_al_2025","R1","2","R1_2_6",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"12","1.3","DBH","1.1304E-2","113.03999999999999","8","6","clinometer","medium","67.839930343966842","33.2415658685438","51.900467252086941","24.393219608480862","43.678050967726882","17.034439877413483","hongos"
"Romero_et_al_2025","R1","2","R1_2_5",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"12.3","1.3","DBH","1.1876265000000002E-2","118.76265000000002","9","7","clinometer","medium","72.108102053427174","35.3329700061793","55.259873429655542","25.972140511938104","46.139218254014636","17.994295119065708","hongos"
"Romero_et_al_2025","R1","2","R1_2_9",2016,2,9,"Peliciera rhizophorae",2,"alive",NA,"12.5","1.3","DBH","1.2265625E-2","122.65625","7","6","clinometer","medium","75.040060668014377","36.769629727327","57.570809466109928","27.058280449071663","47.821270859385649","18.650295635160404","sano"
"Romero_et_al_2025","R1","3","R1_3_5",2016,2,9,"Rhizophora racemosa",7,"alive",NA,"7","1.7","diameter above lowest prop root","3.8465000000000005E-3","38.465000000000003","8","7","clinometer","high","17.908771332518995","8.77529795293431","20.158809169418994","9.8778164930153061","13.696238579187385","5.3415330458830805","sano"
"Romero_et_al_2025","R1","3","R1_3_3",2016,2,9,"Rhizophora racemosa",7,"alive",NA,"7.5","2","diameter above lowest prop root","4.4156250000000003E-3","44.15625","8","6","clinometer","low","21.237574540559574","10.4064115248742","24.1195529758423","11.818580958162727","15.9631894706263","6.2256438935442571","sano"
"Romero_et_al_2025","R1","3","R1_3_4",2016,2,9,"Rhizophora racemosa",7,"alive",NA,"8","1.8","diameter above lowest prop root","5.0239999999999998E-3","50.239999999999995","12","10","clinometer","medium","24.909435877200384","12.2056235798282","28.526200858087392","13.977838420462822","18.422282373351525","7.1846901256070952","sano"
