"study_id","site_id","plot_id","core_id","representative_depth_min","representative_depth_max","sediment_dry_weight","dry_bulk_density","fraction_carbon","fraction_h2o","depth_interval_notes","soil_color","soil_carbon_density","interval_carbon_stock"
"Romero_et_al_2025","SL8","1","SL8-1","0","15","31.75",0.300805305542397,0.1775,0.248182599859298,"Raíces y seis raíz medianas","Very dark gray",0.05339,0.80089
"Romero_et_al_2025","SL8","1","SL8-1","15","30","27.19",0.246576584746531,0.188,0.224358445416288,"Raíces y una raíz grande","Very dark gray",0.04636,0.69535
"Romero_et_al_2025","SL8","1","SL8-1","30","50","36.13",0.325436858223743,0.1315,0.269225037257824,"Raíces y una raíz grande","Very dark gray",0.04279,0.8559
"Romero_et_al_2025","SL8","1","SL8-1","50","100","34.44",0.308657465495609,0.11460000000000001,0.260238778902826,"Raíces y una raíz grande","Very dark gray",0.03537,1.76861
"Romero_et_al_2025","SL8","2","SL8-2","0","15","32.21",0.305163429654192,0.17989999999999998,0.253322847031066,"Raíces y una raíz grande","Very dark gray",0.0549,0.82348
"Romero_et_al_2025","SL8","2","SL8-2","15","30","32.09",0.29101296816904,0.14550000000000002,0.252776683733753,"Raíces","Very dark gray",0.04234,0.63514
"Romero_et_al_2025","SL8","2","SL8-2","30","50","37.41",0.336966312376148,0.09789999999999999,0.283537971805366,"Raíces y una raíz grande","Very dark gray",0.03299,0.65978
"Romero_et_al_2025","SL8","2","SL8-2","50","100","27.34",0.245025990320846,0.1331,0.22938165953519601,"Raíces y una raíz grande","Very dark gray",0.03261,1.10884
"Romero_et_al_2025","SL8","3","SL8-3","0","15","37.17",0.352155376598768,0.18350000000000002,0.279978909310033,"Raíces","Very dark gray",0.06462,0.96931
"Romero_et_al_2025","SL8","3","SL8-3","15","30","35.39",0.320939512106647,0.15560000000000002,0.282667731629393,"Raíces y tres raíz grandes","Very dark gray",0.04994,0.74907
"Romero_et_al_2025","SL8","3","SL8-3","30","50","33.93",0.305620608899297,0.1399,0.260259262100176,"Raíces y una raíz grande","Very dark gray",0.04276,0.85513
