"study_id","site_id","core_id","method_id","depth_min","depth_max","sample_id","dry_bulk_density","fraction_carbon"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D5_1","single set of methods",0,5,"MID_SM_T1_D5_0_5",0.7117142857142856,0.0542
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D5_1","single set of methods",5,10,"MID_SM_T1_D5_5_10",0.9726000000000002,0.027999999999999997
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D5_1","single set of methods",10,20,"MID_SM_T1_D5_10_20",1.17014,0.012199999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D3_1","single set of methods",0,5,"MID_SM_T1_D3_0_5",0.8582499999999996,0.0384
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D3_1","single set of methods",5,10,"MID_SM_T1_D3_5_10",1.0446000000000002,0.022000000000000002
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D3_1","single set of methods",10,20,"MID_SM_T1_D3_10_20",1.2022000000000002,0.0097
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D1_1","single set of methods",0,5,"MID_SM_T1_D1_0_5",0.24380000000000024,0.15259999999999999
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D1_1","single set of methods",5,10,"MID_SM_T1_D1_5_10",0.8535000000000004,0.0368
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D1_1","single set of methods",10,20,"MID_SM_T1_D1_10_20",1.20004,0.013000000000000001
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D0.5_1","single set of methods",0,5,"MID_SM_T1_D0.5_0_5",0.6746500000000001,0.0415
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D0.5_1","single set of methods",5,10,"MID_SM_T1_D0.5_5_10",0.9535999999999998,0.037000000000000005
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D0.5_1","single set of methods",10,20,"MID_SM_T1_D0.5_10_20",1.05604,0.020099999999999996
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D0_1","single set of methods",0,5,"MID_SM_T1_D0_0_5",0.78155,0.0282
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D0_1","single set of methods",5,10,"MID_SM_T1_D0_5_10",0.8586000000000003,0.0345
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T1_D0_1","single set of methods",10,20,"MID_SM_T1_D0_10_20",1.12114,0.0176
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D5_1","single set of methods",0,5,"MID_SM_T2_D5_0_5",0.87335,0.0323
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D5_1","single set of methods",5,10,"MID_SM_T2_D5_5_10",0.9462,0.04
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Middle","MID_SM_T2_D5_1","single set of methods",10,20,"MID_SM_T2_D5_10_20",1.33016,0.0085
