"study_id","site_id","core_id","habitat","species_code","code_type"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T1_D1_1","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T1_D0.5_1","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D5_1","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D5_1","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D5_1","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D3_1","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D3_1","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D3_1","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D1_1","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D1_1","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D1_1","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0.5_1","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0.5_1","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0.5_1","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0_1","marsh","Salicornia tegetaria","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0_1","marsh","Chenolea diffusa","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_SM_T2_D0_1","marsh","Triglochin striata","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T2_D5_1","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T2_D3_1","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T2_D1_1","seagrass","Zostera capensis","Genus species"
"Engelbrecht_et_al_2025_Olifants","Olifants Estuary Upper","UPR_INT_T2_D0.5_1","seagrass","Zostera capensis","Genus species"
