study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter
Bossert_et_al_2025_Langebaan,Langebaan,S3_R3_2023,single set of methods,0,5,S3_R3_0_5cm,0.08,0.00447
Bossert_et_al_2025_Langebaan,Langebaan,S3_R3_2023,single set of methods,5,10,S3_R3_5_10cm,0.08,0.00815
Bossert_et_al_2025_Langebaan,Langebaan,S3_R3_2023,single set of methods,10,20,S3_R3_10_20cm,0.06,0.01318
Bossert_et_al_2025_Langebaan,Langebaan,S3_R3_2023,single set of methods,20,30,S3_R3_20_30cm,0.07,0.01462
Bossert_et_al_2025_Langebaan,Langebaan,S3_R3_2023,single set of methods,30,50,S3_R3_30_50cm,0.07,0.01389
Bossert_et_al_2025_Langebaan,Langebaan,S3_R4_2023,single set of methods,0,5,S3_R4_0_5cm,0.1,0.00633
Bossert_et_al_2025_Langebaan,Langebaan,S3_R4_2023,single set of methods,5,10,S3_R4_5_10cm,0.08,0.00787
Bossert_et_al_2025_Langebaan,Langebaan,S3_R4_2023,single set of methods,10,20,S3_R4_10_20cm,0.08,0.01126
Bossert_et_al_2025_Langebaan,Langebaan,S3_R4_2023,single set of methods,20,30,S3_R4_20_30cm,0.09,0.00982
Bossert_et_al_2025_Langebaan,Langebaan,S3_R4_2023,single set of methods,30,50,S3_R4_30_50cm,0.06,0.01422
Bossert_et_al_2025_Langebaan,Langebaan,S3_R5_2023,single set of methods,0,5,S3_R5_0_5cm,0.09,0.00519
Bossert_et_al_2025_Langebaan,Langebaan,S3_R5_2023,single set of methods,5,10,S3_R5_5_10cm,0.09,0.00828
Bossert_et_al_2025_Langebaan,Langebaan,S3_R5_2023,single set of methods,10,20,S3_R5_10_20cm,0.07,0.01204
Bossert_et_al_2025_Langebaan,Langebaan,S3_R5_2023,single set of methods,20,30,S3_R5_20_30cm,0.04,0.01293
Bossert_et_al_2025_Langebaan,Langebaan,S3_R5_2023,single set of methods,30,50,S3_R5_30_50cm,0.04,0.01115
Bossert_et_al_2025_Langebaan,Langebaan,S4_R1_2023,single set of methods,0,5,S4_R1_0_5cm,0.09,0.00791
Bossert_et_al_2025_Langebaan,Langebaan,S4_R1_2023,single set of methods,5,10,S4_R1_5_10cm,0.08,0.00883
Bossert_et_al_2025_Langebaan,Langebaan,S4_R1_2023,single set of methods,10,20,S4_R1_10_20cm,0.11,0.01291
Bossert_et_al_2025_Langebaan,Langebaan,S4_R1_2023,single set of methods,20,30,S4_R1_20_30cm,0.09,0.0135
Bossert_et_al_2025_Langebaan,Langebaan,S4_R1_2023,single set of methods,30,50,S4_R1_30_50cm,0.08,0.01399
Bossert_et_al_2025_Langebaan,Langebaan,S4_R2_2023,single set of methods,0,5,S4_R2_0_5cm,0.11,0.00661
Bossert_et_al_2025_Langebaan,Langebaan,S4_R2_2023,single set of methods,5,10,S4_R2_5_10cm,0.15,0.00958
Bossert_et_al_2025_Langebaan,Langebaan,S4_R2_2023,single set of methods,10,20,S4_R2_10_20cm,0.09,0.01276
Bossert_et_al_2025_Langebaan,Langebaan,S4_R2_2023,single set of methods,20,30,S4_R2_20_30cm,0.13,0.01283
Bossert_et_al_2025_Langebaan,Langebaan,S4_R2_2023,single set of methods,30,50,S4_R2_30_50cm,0.12,0.01279
Bossert_et_al_2025_Langebaan,Langebaan,S4_R3_2023,single set of methods,0,5,S4_R3_0_5cm,0.17,0.00417
Bossert_et_al_2025_Langebaan,Langebaan,S4_R3_2023,single set of methods,5,10,S4_R3_5_10cm,0.23,0.00519
Bossert_et_al_2025_Langebaan,Langebaan,S4_R3_2023,single set of methods,10,20,S4_R3_10_20cm,0.09,0.01412
Bossert_et_al_2025_Langebaan,Langebaan,S4_R3_2023,single set of methods,20,30,S4_R3_20_30cm,0.12,0.0131
Bossert_et_al_2025_Langebaan,Langebaan,S4_R3_2023,single set of methods,30,50,S4_R3_30_50cm,0.1,0.01389
Bossert_et_al_2025_Langebaan,Langebaan,S4_R4_2023,single set of methods,0,5,S4_R4_0_5cm,0.14,0.01046
Bossert_et_al_2025_Langebaan,Langebaan,S4_R4_2023,single set of methods,5,10,S4_R4_5_10cm,0.19,0.00751
Bossert_et_al_2025_Langebaan,Langebaan,S4_R4_2023,single set of methods,10,20,S4_R4_10_20cm,0.13,0.01192
Bossert_et_al_2025_Langebaan,Langebaan,S4_R4_2023,single set of methods,20,30,S4_R4_20_30cm,0.19,0.01081
Bossert_et_al_2025_Langebaan,Langebaan,S4_R4_2023,single set of methods,30,50,S4_R4_30_50cm,0.15,0.01148
Bossert_et_al_2025_Langebaan,Langebaan,S4_R5_2023,single set of methods,0,5,S4_R5_0_5cm,0.1,0.00659
Bossert_et_al_2025_Langebaan,Langebaan,S4_R5_2023,single set of methods,5,10,S4_R5_5_10cm,0.08,0.00853
Bossert_et_al_2025_Langebaan,Langebaan,S4_R5_2023,single set of methods,10,20,S4_R5_10_20cm,0.14,0.01123
Bossert_et_al_2025_Langebaan,Langebaan,S4_R5_2023,single set of methods,20,30,S4_R5_20_30cm,0.23,0.01211
Bossert_et_al_2025_Langebaan,Langebaan,S4_R5_2023,single set of methods,30,50,S4_R5_30_50cm,0.11,0.01169
Bossert_et_al_2025_Langebaan,Langebaan,S4_R6_2023,single set of methods,0,5,S4_R6_0_5cm,0.06,0.00844
Bossert_et_al_2025_Langebaan,Langebaan,S4_R6_2023,single set of methods,5,10,S4_R6_5_10cm,0.11,0.00995
Bossert_et_al_2025_Langebaan,Langebaan,S4_R6_2023,single set of methods,10,20,S4_R6_10_20cm,0.07,0.01185
Bossert_et_al_2025_Langebaan,Langebaan,S4_R6_2023,single set of methods,20,30,S4_R6_20_30cm,0.1,0.01228
Bossert_et_al_2025_Langebaan,Langebaan,S4_R6_2023,single set of methods,30,50,S4_R6_30_50cm,0.09,0.01216
Bossert_et_al_2025_Langebaan,Langebaan,S4_R7_2023,single set of methods,0,5,S4_R7_0_5cm,0.41,0.00513
Bossert_et_al_2025_Langebaan,Langebaan,S4_R7_2023,single set of methods,5,10,S4_R7_5_10cm,0.61,0.00818
Bossert_et_al_2025_Langebaan,Langebaan,S4_R7_2023,single set of methods,10,20,S4_R7_10_20cm,0.24,0.01297
