"study_id","site_id","core_id","year","month","day","latitude","longitude","position_method","position_notes","habitat","vegetation_class","vegetation_method","salinity_class","salinity_method"
"Romero_et_al_2025","SL13","SL13-3B",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-3C",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-4",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-5",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-6A",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-6B",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL13","SL13-6C",2016,9,15,8.231066703796387,-81.96278381347656,"other low resolution","site-level coordinates","mangrove","forested","measurement","mesohaline","measurement"
"Romero_et_al_2025","SL14","SL14-1A",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-1B",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-1C",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-2",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-3A",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-3B",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-3C",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-4",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL14","SL14-5",2016,9,16,8.222233772277832,-81.977447509765625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL2","SL2-1",2016,1,10,8.334600448608398,-82.1578369140625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL2","SL2-2",2016,1,10,8.334600448608398,-82.1578369140625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL2","SL2-3",2016,1,10,8.334600448608398,-82.1578369140625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL2","SL2-4",2016,1,10,8.334600448608398,-82.1578369140625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-1A",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-1B",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
"Romero_et_al_2025","SL3","SL3-1C",2016,9,19,8.325532913208008,-82.162353515625,"other low resolution","site-level coordinates","mangrove","forested","measurement","oligohaline","measurement"
