"study_id","site_id","core_id","method_id","representative_depth_min","representative_depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes"
"Romero_et_al_2025","R5","R5-6","single set of methods",50,100,0.429288402939595,0.0645,"Raíces"
"Romero_et_al_2025","SF1","SF1-1A","single set of methods",0,15,0.604926575082899,0.04849999999999999,"20% raíces"
"Romero_et_al_2025","SF1","SF1-1A","single set of methods",15,30,0.578670535957196,0.0452,"30% raíces y una raíz grande"
"Romero_et_al_2025","SF1","SF1-1A","single set of methods",30,50,0.499189335254909,0.0595,"Raíces y una raíz grande"
"Romero_et_al_2025","SF1","SF1-1A","single set of methods",50,100,0.652536296827388,0.0482,"30% raíces"
"Romero_et_al_2025","SF1","SF1-1B","single set of methods",0,15,0.684699194694458,0.0391,"Pocas raíces"
"Romero_et_al_2025","SF1","SF1-1B","single set of methods",15,30,0.572957286660016,0.0501,"Pocas raíces"
"Romero_et_al_2025","SF1","SF1-1B","single set of methods",30,50,0.585660241397946,0.0467,"Pocas raíces"
"Romero_et_al_2025","SF1","SF1-1B","single set of methods",50,100,0.574565334289299,0.0428,"Pocas raíces"
"Romero_et_al_2025","SF1","SF1-1C","single set of methods",0,15,0.67029843675983,0.0481,"Raíces"
"Romero_et_al_2025","SF1","SF1-1C","single set of methods",15,30,0.538496417883377,0.0431,"Raíces"
"Romero_et_al_2025","SF1","SF1-1C","single set of methods",30,50,0.558818230949378,0.0611,"Raíces"
"Romero_et_al_2025","SF1","SF1-1C","single set of methods",50,100,0.670281412439505,0.0462,"Raíces"
"Romero_et_al_2025","SF1","SF1-2","single set of methods",0,15,0.591567977261961,0.0524,"30% raíces"
"Romero_et_al_2025","SF1","SF1-2","single set of methods",15,30,0.559989117620386,0.0555,"20% raíces"
"Romero_et_al_2025","SF1","SF1-2","single set of methods",30,50,0.586110610700775,0.05389999999999999,"Raíces"
"Romero_et_al_2025","SF1","SF1-2","single set of methods",50,100,0.427406345223158,0.0549,"20% Raíces"
"Romero_et_al_2025","SF1","SF1-3A","single set of methods",0,15,0.33879677877783,0.0611,"Raíces"
"Romero_et_al_2025","SF1","SF1-3A","single set of methods",15,30,0.513376258275143,0.045,"Raíces"
"Romero_et_al_2025","SF1","SF1-3A","single set of methods",30,50,0.492433795712484,0.05019999999999999,"Raíces y una raíz grande"
"Romero_et_al_2025","SF1","SF1-3A","single set of methods",50,100,0.5543108083886,0.052,"30% raíces"
"Romero_et_al_2025","SF1","SF1-3B","single set of methods",0,15,0.430696352439602,0.0417,"Raíces"
"Romero_et_al_2025","SF1","SF1-3B","single set of methods",15,30,0.460324657658475,0.0449,"Raíces y una raíz grande"
"Romero_et_al_2025","SF1","SF1-3B","single set of methods",30,50,0.809764006485318,0.0323,"Raíces y una raíz grande"
"Romero_et_al_2025","SF1","SF1-3B","single set of methods",50,100,0.692507617852662,0.0473,"Pocas raíces"
"Romero_et_al_2025","SF1","SF1-3C","single set of methods",0,15,0.577546186641402,0.035,"Raíces y una raíz grande"
"Romero_et_al_2025","SF1","SF1-3C","single set of methods",15,30,0.485354130769928,0.0432,"Raíces y una raíz grande"
"Romero_et_al_2025","SF1","SF1-3C","single set of methods",30,50,0.74157809403711,0.03279999999999999,"Pocas raíces y una raíz grande"
"Romero_et_al_2025","SF1","SF1-3C","single set of methods",50,100,0.441028858218319,0.0561,"Pocas raíces"
"Romero_et_al_2025","SF1","SF1-4","single set of methods",0,15,0.91852202747513,0.0131,"Pocas raíces"
"Romero_et_al_2025","SF1","SF1-4","single set of methods",15,30,1.05087512469393,0.0172,"Pocas raíces"
"Romero_et_al_2025","SF1","SF1-4","single set of methods",30,50,0.973428211133129,0.009,"Pocas raíces"
"Romero_et_al_2025","SF1","SF1-4","single set of methods",50,100,0.899623588456713,0.0067,"Pocas raíces"
"Romero_et_al_2025","SF1","SF1-5","single set of methods",0,15,1.10298436759829,0.0093,"0.1% raíces"
"Romero_et_al_2025","SF1","SF1-5","single set of methods",15,30,1.09902965448445,0.0098,"0.1% raíces"
"Romero_et_al_2025","SF1","SF1-5","single set of methods",30,50,1.1440281030445,0.0093,"0.1% raíces"
"Romero_et_al_2025","SF1","SF1-5","single set of methods",50,100,1.22145545796738,0.001,"sin M.O"
"Romero_et_al_2025","SF2","SF2-1","single set of methods",0,15,0.35139744197063,0.08900000000000001,"Raíces"
"Romero_et_al_2025","SF2","SF2-1","single set of methods",15,30,0.358937154257731,0.0724,"Raíces"
"Romero_et_al_2025","SF2","SF2-1","single set of methods",30,50,0.390470185552153,0.0668,"15% raíces"
"Romero_et_al_2025","SF2","SF2-1","single set of methods",50,100,0.333213837605306,0.0633,"Raíces"
"Romero_et_al_2025","SF2","SF2-2","single set of methods",0,15,0.33775461866414,0.08560000000000001,"Raíces"
"Romero_et_al_2025","SF2","SF2-2","single set of methods",15,30,0.269338895438469,0.08109999999999999,"Raíces y una raíz grande"
"Romero_et_al_2025","SF2","SF2-2","single set of methods",30,50,0.311745631417763,0.07400000000000001,"Raíces y una raíz grande"
"Romero_et_al_2025","SF2","SF2-3","single set of methods",0,15,0.338607295120796,0.0967,"Raíces y una raíz grande"
"Romero_et_al_2025","SF2","SF2-3","single set of methods",15,30,0.392309785073003,0.094,"Raíces y una raíz grande"
"Romero_et_al_2025","SF2","SF2-3","single set of methods",30,50,0.304719870293641,0.1,"Raíces"
"Romero_et_al_2025","SF2","SF2-3","single set of methods",50,100,0.34620899802832,0.0934,"Raíces y una raíz grande"
"Romero_et_al_2025","SF2","SF2-4","single set of methods",0,15,0.446423495973472,0.0696,"Raíces"
"Romero_et_al_2025","SF2","SF2-4","single set of methods",15,30,0.308062029563798,0.08960000000000001,"Raíces y una raíz grande"
"Romero_et_al_2025","SF2","SF2-4","single set of methods",30,50,0.382994055125203,0.094,"Raíces y una raíz grande"
"Romero_et_al_2025","SF2","SF2-4","single set of methods",50,100,0.327657286252017,0.0885,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SF2","SF2-5","single set of methods",0,15,0.488394126006632,0.0824,"Raíces"
"Romero_et_al_2025","SF2","SF2-5","single set of methods",15,30,0.357576856806022,0.1059,"Raíces y una raíz grande"
"Romero_et_al_2025","SF2","SF2-5","single set of methods",30,50,0.385426049360476,0.0915,"Raíces"
"Romero_et_al_2025","SF2","SF2-5","single set of methods",50,100,0.463882416203621,0.06269999999999999,"Raíces"
"Romero_et_al_2025","SF2","SF2-6","single set of methods",0,15,0.418853623874941,0.0855,"Raíces y una raíz grande"
"Romero_et_al_2025","SF2","SF2-6","single set of methods",15,30,0.440101568876394,0.0788,"Pocas raíces"
"Romero_et_al_2025","SF2","SF2-6","single set of methods",30,50,0.429472167177085,0.0799,"Raíces"
