"study_id","site_id","core_id","method_id","representative_depth_min","representative_depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes"
"Romero_et_al_2025","SL4","SL4-6","single set of methods",30,50,0.271662763466042,0.0832,"Raíces"
"Romero_et_al_2025","SL4","SL4-6","single set of methods",50,100,0.275228535579853,0.0673,"20% raíz"
"Romero_et_al_2025","SL5","SL5-1","single set of methods",0,15,0.380293699668404,0.0904,"Raíces"
"Romero_et_al_2025","SL5","SL5-1","single set of methods",15,30,0.297270336446903,0.1419,"Raíces"
"Romero_et_al_2025","SL5","SL5-1","single set of methods",30,50,0.284813547108629,0.1655,"Raíces"
"Romero_et_al_2025","SL5","SL5-1","single set of methods",50,100,0.288582183186951,0.1394,"Raíces y una raíz grande"
"Romero_et_al_2025","SL5","SL5-2","single set of methods",0,15,0.30525817148271,0.1058,"Raíces"
"Romero_et_al_2025","SL5","SL5-2","single set of methods",15,30,0.270427133399837,0.183,"Raíces y tres raíz grandes"
"Romero_et_al_2025","SL5","SL5-2","single set of methods",30,50,0.308232750855702,0.1606,"Raíces y una raíz grande"
"Romero_et_al_2025","SL5","SL5-2","single set of methods",50,100,0.264205054669296,0.1437,"Raíces"
"Romero_et_al_2025","SL5","SL5-3","single set of methods",0,15,0.214211274277594,0.17129999999999998,"Raíces y una raíz grande"
"Romero_et_al_2025","SL5","SL5-3","single set of methods",15,30,0.284120794413712,0.175,"Raíces"
"Romero_et_al_2025","SL5","SL5-3","single set of methods",30,50,0.269681138533598,0.1791,"Raíces y una raíz grande"
"Romero_et_al_2025","SL5","SL5-3","single set of methods",50,100,0.298082093565155,0.147,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL5","SL5-4","single set of methods",0,15,0.26783514921838,0.1497,"Raíces y una raíz grande"
"Romero_et_al_2025","SL5","SL5-4","single set of methods",15,30,0.260995737734651,0.199,"Raíces"
"Romero_et_al_2025","SL5","SL5-4","single set of methods",30,50,0.265537740947577,0.1776,"Raíces y una raíz grande"
"Romero_et_al_2025","SL5","SL5-4","single set of methods",50,100,0.290284997311346,0.1391,"Raíces y una raíz grande"
"Romero_et_al_2025","SL5","SL5-5","single set of methods",0,15,0.285836096636665,0.206,"Raíces"
"Romero_et_al_2025","SL5","SL5-5","single set of methods",15,30,0.25210846105015,0.1953,"Raíces y una raíz grande"
"Romero_et_al_2025","SL5","SL5-5","single set of methods",30,50,0.216807782381553,0.1806,"Raíces"
"Romero_et_al_2025","SL5","SL5-5","single set of methods",50,100,0.201649041046783,0.1539,"Raíces"
"Romero_et_al_2025","SL5","SL5-6","single set of methods",0,15,0.287636191378494,0.1947,"Raíces y una raíz grande"
"Romero_et_al_2025","SL5","SL5-6","single set of methods",15,30,0.271878117348327,0.19329999999999997,"Raíces y una raíz grande"
"Romero_et_al_2025","SL5","SL5-6","single set of methods",30,50,0.263105746712304,0.2097,"Raíces"
"Romero_et_al_2025","SL5","SL5-6","single set of methods",50,100,0.197705682021868,0.17170000000000002,"Raíces"
"Romero_et_al_2025","SL6","SL6-1","single set of methods",0,15,0.254855518711511,0.1514,"Raíces y una raíz grande"
"Romero_et_al_2025","SL6","SL6-1","single set of methods",15,30,0.246576584746531,0.122,"Raíces y tres raíz grandes"
"Romero_et_al_2025","SL6","SL6-1","single set of methods",30,50,0.327328409295622,0.1067,"Raíces"
"Romero_et_al_2025","SL6","SL6-1","single set of methods",50,100,0.220111131027066,0.1017,"Raíces y una raíz grande"
"Romero_et_al_2025","SL6","SL6-2","single set of methods",0,15,0.281856939838939,0.1319,"Raíces"
"Romero_et_al_2025","SL6","SL6-2","single set of methods",15,30,0.245488346785164,0.1358,"Raíces"
"Romero_et_al_2025","SL6","SL6-2","single set of methods",30,50,0.281751035849396,0.1124,"20% raíces y dos raíz grandes"
"Romero_et_al_2025","SL6","SL6-3","single set of methods",0,15,0.224159166271909,0.1359,"Raíces y dos troncos grandes"
"Romero_et_al_2025","SL6","SL6-3","single set of methods",15,30,0.214564251382969,0.121,"Raíces"
"Romero_et_al_2025","SL6","SL6-3","single set of methods",30,50,0.216987930102684,0.1489,"Raíces"
"Romero_et_al_2025","SL6","SL6-3","single set of methods",50,100,0.165441835454383,0.0957,"10% raíz"
"Romero_et_al_2025","SL6","SL6-4","single set of methods",0,15,0.266698247276172,0.12,"Raíces"
"Romero_et_al_2025","SL6","SL6-4","single set of methods",15,30,0.223451528067471,0.1383,"Raíces"
"Romero_et_al_2025","SL6","SL6-4","single set of methods",30,50,0.192487840028824,0.1203,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL6","SL6-4","single set of methods",50,100,0.182828463882416,0.1502,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL6","SL6-5","single set of methods",0,15,0.232685930838465,0.1412,"Poca raíz"
"Romero_et_al_2025","SL6","SL6-5","single set of methods",15,30,0.260451618753968,0.1074,"Poca raíz"
"Romero_et_al_2025","SL6","SL6-5","single set of methods",30,50,0.227436497928301,0.097,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL6","SL6-5","single set of methods",50,100,0.279351138196809,0.0913,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL6","SL6-6","single set of methods",0,15,0.192041686404548,0.16820000000000002,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL6","SL6-6","single set of methods",15,30,0.215924548834679,0.1294,"Raíces y una raíz grande"
"Romero_et_al_2025","SL6","SL6-6","single set of methods",30,50,0.224193838947937,0.1126,"Raíces y una raíz grande"
"Romero_et_al_2025","SL7","SL7-1","single set of methods",0,15,0.686309805779251,0.047,"25% raíz"
"Romero_et_al_2025","SL7","SL7-1","single set of methods",15,30,0.408542667996735,0.0652,"30% raíz y una raíz grande"
"Romero_et_al_2025","SL7","SL7-1","single set of methods",30,50,0.597099621689786,0.0434,"60% raíces"
"Romero_et_al_2025","SL7","SL7-1","single set of methods",50,100,0.519627173328554,0.054,"30% raíces"
"Romero_et_al_2025","SL7","SL7-2","single set of methods",0,15,0.614874467077214,0.0392,"Raíces"
"Romero_et_al_2025","SL7","SL7-2","single set of methods",15,30,0.58356760678335,0.04389999999999999,"25% raíz"
"Romero_et_al_2025","SL7","SL7-2","single set of methods",30,50,0.551432174382994,0.0444,"Poca raíz"
"Romero_et_al_2025","SL7","SL7-2","single set of methods",50,100,0.387524645993906,0.0623,"30% raíz"
"Romero_et_al_2025","SL7","SL7-3","single set of methods",0,15,0.550639507342492,0.0471,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL7","SL7-3","single set of methods",15,30,0.558719506665458,0.0461,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL7","SL7-3","single set of methods",30,50,0.552332912988651,0.0493,"Raíces y tres raíz grandes"
"Romero_et_al_2025","SL7","SL7-3","single set of methods",50,100,0.281322817709267,0.0941,"Raíces y cinco raíz grandes"
"Romero_et_al_2025","SL7","SL7-4","single set of methods",0,15,0.434864992894363,0.0802,"Raíces y una raíz grande"
"Romero_et_al_2025","SL7","SL7-4","single set of methods",15,30,0.377981318581663,0.08439999999999999,"Raíces y una raíz grande"
"Romero_et_al_2025","SL7","SL7-4","single set of methods",30,50,0.474328949738786,0.0699,"Raíces"
"Romero_et_al_2025","SL7","SL7-4","single set of methods",50,100,0.328732747804266,0.0771,"Raíces y tres raíz grandes"
"Romero_et_al_2025","SL7","SL7-5","single set of methods",0,15,0.341733775461866,0.142,"Raíces y una raíz grande"
"Romero_et_al_2025","SL7","SL7-5","single set of methods",15,30,0.275505577219552,0.1289,"Raíces y tres raíz grandes"
"Romero_et_al_2025","SL7","SL7-5","single set of methods",30,50,0.338767789587462,0.1071,"Raíces y una raíz grande"
"Romero_et_al_2025","SL7","SL7-5","single set of methods",50,100,0.375963434307224,0.0689,"50% raíz"
"Romero_et_al_2025","SL7","SL7-6","single set of methods",0,15,0.249076267171956,0.2189,"Pocas raíces"
"Romero_et_al_2025","SL7","SL7-6","single set of methods",15,30,0.251564342069466,0.1996,"Pocas raíces"
"Romero_et_al_2025","SL7","SL7-6","single set of methods",30,50,0.238785804359575,0.2079,"Pocas raíces"
"Romero_et_al_2025","SL7","SL7-6","single set of methods",50,100,0.420595088725578,0.06570000000000001,"Pocas raíces y una raíz grande"
"Romero_et_al_2025","SL8","SL8-1","single set of methods",0,15,0.300805305542397,0.1775,"Raíces y seis raíz medianas"
"Romero_et_al_2025","SL8","SL8-1","single set of methods",15,30,0.246576584746531,0.188,"Raíces y una raíz grande"
"Romero_et_al_2025","SL8","SL8-1","single set of methods",30,50,0.325436858223743,0.1315,"Raíces y una raíz grande"
"Romero_et_al_2025","SL8","SL8-1","single set of methods",50,100,0.308657465495609,0.1146,"Raíces y una raíz grande"
"Romero_et_al_2025","SL8","SL8-2","single set of methods",0,15,0.305163429654192,0.17989999999999998,"Raíces y una raíz grande"
"Romero_et_al_2025","SL8","SL8-2","single set of methods",15,30,0.29101296816904,0.14550000000000002,"Raíces"
"Romero_et_al_2025","SL8","SL8-2","single set of methods",30,50,0.336966312376148,0.0979,"Raíces y una raíz grande"
"Romero_et_al_2025","SL8","SL8-2","single set of methods",50,100,0.245025990320846,0.1331,"Raíces y una raíz grande"
"Romero_et_al_2025","SL8","SL8-3","single set of methods",0,15,0.352155376598768,0.1835,"Raíces"
"Romero_et_al_2025","SL8","SL8-3","single set of methods",15,30,0.320939512106647,0.15560000000000002,"Raíces y tres raíz grandes"
"Romero_et_al_2025","SL8","SL8-3","single set of methods",30,50,0.305620608899297,0.1399,"Raíces y una raíz grande"
"Romero_et_al_2025","SL8","SL8-3","single set of methods",50,100,0.199318874350242,0.2339,"Raíces y una raíz grande"
"Romero_et_al_2025","SL8","SL8-4","single set of methods",0,15,0.355660824253908,0.1574,"Raíces"
"Romero_et_al_2025","SL8","SL8-4","single set of methods",15,30,0.296907590459781,0.1451,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL8","SL8-4","single set of methods",30,50,0.295081967213115,0.1393,"Raíces y una raíz grande"
"Romero_et_al_2025","SL8","SL8-4","single set of methods",50,100,0.274421939415666,0.1602,"Raíces y una raíz grande"
"Romero_et_al_2025","SL8","SL8-5","single set of methods",0,15,0.272098531501658,0.12710000000000002,"Raíces"
"Romero_et_al_2025","SL8","SL8-5","single set of methods",15,30,0.284755599891176,0.1393,"Raíces"
"Romero_et_al_2025","SL8","SL8-5","single set of methods",30,50,0.256530354891011,0.1492,"Raíces y una raíz grande"
"Romero_et_al_2025","SL8","SL8-5","single set of methods",50,100,0.290105753719305,0.1394,"Raíces y una raíz grande"
"Romero_et_al_2025","SL9","SL9-1","single set of methods",0,15,0.385978209379441,0.0742,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL9","SL9-1","single set of methods",15,30,0.343611136301805,0.053,"Pocas raíces"
"Romero_et_al_2025","SL9","SL9-1","single set of methods",30,50,0.498198522788687,0.03859999999999999,"Raíces"
"Romero_et_al_2025","SL9","SL9-1","single set of methods",50,100,0.483419967736153,0.0491,"Pocas raíces"
"Romero_et_al_2025","SL9","SL9-2","single set of methods",0,15,0.401326385599242,0.0573,"Raíces"
"Romero_et_al_2025","SL9","SL9-2","single set of methods",15,30,0.309603700009069,0.0626,"Raíces y dos raíz grande"
"Romero_et_al_2025","SL9","SL9-2","single set of methods",30,50,0.317960727796793,0.07690000000000001,"30% raíz"
"Romero_et_al_2025","SL9","SL9-2","single set of methods",50,100,0.361534325147876,0.0696,"Raíces"
"Romero_et_al_2025","SL9","SL9-3","single set of methods",0,15,0.360113690194221,0.0649,"Pocas raíces y una raíz grande"
"Romero_et_al_2025","SL9","SL9-3","single set of methods",15,30,0.274145279767843,0.1025,"Raíces y una raíz grande"
"Romero_et_al_2025","SL9","SL9-3","single set of methods",30,50,0.255629616285354,0.0733,"Raíces y dos raíz grande"
"Romero_et_al_2025","SL9","SL9-3","single set of methods",50,100,0.320218677182291,0.0666,"Pocas raíces"
"Romero_et_al_2025","SL9","SL9-4","single set of methods",0,15,0.378872572240644,0.0692,"Raíces y una raíz grande"
"Romero_et_al_2025","SL9","SL9-4","single set of methods",15,30,0.269701641425592,0.1108,"Raíces y una raíz grande"
"Romero_et_al_2025","SL9","SL9-4","single set of methods",30,50,0.206719509998199,0.135,"Raíces"
"Romero_et_al_2025","SL9","SL9-5","single set of methods",0,15,0.312553292278541,0.1036,"Raíces, una hoja y una raíz grande"
"Romero_et_al_2025","SL9","SL9-5","single set of methods",15,30,0.370000906864968,0.0765,"Raíces"
"Romero_et_al_2025","SL9","SL9-5","single set of methods",30,50,0.362817510358494,0.0729,"Raíces y dos raíz grandes"
"Romero_et_al_2025","SL9","SL9-5","single set of methods",50,100,0.301846208998028,0.0735,"Raíces y tres raíz grandes"
"Romero_et_al_2025","SL9","SL9-6","single set of methods",0,15,0.307247749881573,0.13269999999999998,"Raíces"
"Romero_et_al_2025","SL9","SL9-6","single set of methods",15,30,0.263807019134851,0.1365,"Raíces, y una raíz grande"
"Romero_et_al_2025","SL9","SL9-6","single set of methods",30,50,0.31823094937849,0.1165,"Raíces"
"Romero_et_al_2025","SL9","SL9-6","single set of methods",50,100,0.363326761068292,0.0898,"Raíces"
