study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C2,Ndhlovu_et_al_2024,10,20,Mngazana1_C220,1.25422,0.01645
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C2,Ndhlovu_et_al_2024,20,30,Mngazana1_C230,1.59456,0.01453
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C3,Ndhlovu_et_al_2024,0,5,Mngazana1_C35,1.60241,0.02097
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C3,Ndhlovu_et_al_2024,5,10,Mngazana1_C310,1.54528,0.00847
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C3,Ndhlovu_et_al_2024,10,20,Mngazana1_C320,1.52502,0.01601
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C3,Ndhlovu_et_al_2024,20,30,Mngazana1_C330,1.53124,0.0152
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Ndhlovu_et_al_2024,0,5,Mngazana1_C45,1.5342,0.01656
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Ndhlovu_et_al_2024,5,10,Mngazana1_C410,1.28478,0.00737
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Ndhlovu_et_al_2024,10,20,Mngazana1_C420,1.6458,0.01265
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Ndhlovu_et_al_2024,20,30,Mngazana1_C430,1.61056,0.01405
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C4,Ndhlovu_et_al_2024,30,50,Mngazana1_C450,1.54818,0.01491
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C5,Ndhlovu_et_al_2024,0,5,Mngazana1_C55,1.56035,0.013
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C5,Ndhlovu_et_al_2024,5,10,Mngazana1_C510,1.42733,0.01526
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C5,Ndhlovu_et_al_2024,10,20,Mngazana1_C520,1.0061,0.01037
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C5,Ndhlovu_et_al_2024,20,30,Mngazana1_C530,1.19377,0.01163
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C6,Ndhlovu_et_al_2024,0,5,Mngazana1_C65,1.12677,0.01069
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C6,Ndhlovu_et_al_2024,5,10,Mngazana1_C610,1.22273,0.00296
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C6,Ndhlovu_et_al_2024,10,20,Mngazana1_C620,1.1683,0.00427
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C6,Ndhlovu_et_al_2024,20,30,Mngazana1_C630,1.21754,0.00529
Ndhlovu_et_al_2024,Mngazana1,Mngazana1_C6,Ndhlovu_et_al_2024,30,50,Mngazana1_C650,1.45898,0.00323
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C1,Ndhlovu_et_al_2024,0,5,Mngazana2_C15,0.78605,0.01065
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C1,Ndhlovu_et_al_2024,5,10,Mngazana2_C110,1.73627,0.00694
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C1,Ndhlovu_et_al_2024,10,20,Mngazana2_C120,1.62898,0.00633
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C1,Ndhlovu_et_al_2024,20,30,Mngazana2_C130,1.25498,0.00763
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C2,Ndhlovu_et_al_2024,0,5,Mngazana2_C25,1.32565,0.00475
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C2,Ndhlovu_et_al_2024,5,10,Mngazana2_C210,0.7422,0.00842
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C2,Ndhlovu_et_al_2024,10,20,Mngazana2_C220,1.09104,0.01094
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C2,Ndhlovu_et_al_2024,20,30,Mngazana2_C230,1.25498,0.01937
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C3,Ndhlovu_et_al_2024,0,5,Mngazana2_C35,0.91237,0.01104
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C3,Ndhlovu_et_al_2024,5,10,Mngazana2_C310,1.12673,0.00773
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C3,Ndhlovu_et_al_2024,10,20,Mngazana2_C320,1.06916,0.0112
Ndhlovu_et_al_2024,Mngazana2,Mngazana2_C3,Ndhlovu_et_al_2024,20,30,Mngazana2_C330,1.25498,0.00342
